KR0599	鉉
KR0600	豺
KR0601	胤
KR0602	瓠
KR0603	虧
KR0604	躞
KR0606	瓌
KR0607	詹
KR0610	鉛
KR0611	澀
KR0612	氍
KR0613	跋
KR0614	盩
KR0618	謗
KR0619	簸
KR0620	蛇
KR0622	芭
KR0623	熱
KR0625	欝
KR0626	譖
KR0631	瑩
KR0633	牆
KR0634	冊
KR0635	虧
KR0637	派
KR0638	拗
KR0639	𥻘
KR0641	角
KR0643	聊
KR0644	泫
KR0646	偉
KR0649	茞
KR0650	欝
KR0651	殊
KR0652	散
KR0653	光
KR0654	誓
KR0656	嶺
KR0660	𭒀
KR0661	暝
KR0663	歷
KR0664	塚
KR0665	暘
KR0669	桃
KR0672	低
KR0677	探
KR0675	害
#KR0682	[卄/瀹]
KR0683	察
KR0684	邈
KR0692	闕
KR0698	湎
KR0700	弘
KR0701	醢
KR0703	睫
KR0705	寥
KR0709	走
KR0711	𠢐
KR0713	忙
KR0716	匡
KR0717	聳
KR0718	苽
KR0720	鬪
KR0721	炫
KR0723	宇
KR0725	額
KR0727	麵
KR0728	陋
KR0730	導
KR0731	璁
KR0732	齁
KR0733	廷
KR0734	抆
KR0737	洄
KR0741	盤
KR0744	醉
KR0745	煎
KR0746	癩
KR0747	曄
KR0748	靂
KR0752	屨
KR0753	死
KR0754	侃
KR0756	𲄳
KR0760	跎
KR0761	爇
KR0762	悚
KR0768	𨴻
KR0771	蹈
KR0773	厭
KR0774	煬
KR0775	仞
KR0780	青
KR0781	滅
KR0791	茂
KR0798	殊
KR0800	宰
KR0805	窣
KR0806	瓊
KR0814	厨
KR0815	𨫼
KR0817	鐙
KR0820	櫪
KR0821	噓
KR0822	𢥠
KR0823	虛
KR0824	蔑
KR0826	迅
KR0828	倪
KR0831	澹
KR0834	霪
KR0835	昏
KR0840	祚
KR0842	暴
KR0843	咽
KR0846	鵲
KR0853	奄
KR0855	詣
KR0872	藻
KR0880	匙
KR0883	竈
KR0884	攙
KR0892	曙
KR0895	孝
KR0896	媸
KR0900	捺
KR0913	擡
KR0920	麯
KR0921	蜣
KR0923	椒
KR0924	狖
KR0926	蔕
KR0928	湄
KR0936	抗
KR0937	瞽
KR0940	𡑞
KR0943	萌
KR0944	勰
KR0947	嗽
KR0948	然
KR0952	𩦲
KR0953	壓
KR0956	𧹞
KR0959	𨵦
KR0962	肥
KR0967	飢
KR0969	逃
KR0976	噆
KR0980	差
KR0981	盥
KR0983	貳
KR0986	犛
KR0989	蹇
KR0991	崎
KR0998	灊
KR1001	㲲
KR1003	慘
KR1009	闕
KR1022	域
KR1023	瘃
KR1028	疹
KR1034	𤻘
KR1037	衣
KR1040	𮬪
KR1049	貿
KR1054	敞
KR1056	賵
KR1059	𡡉
KR1067	丑
KR1068	閉
KR1072	撤
KR1074	踳
KR1079	侯
KR1080	傘
KR1087	壑
KR1091	揑
KR1093	借
KR1096	遽
KR1099	疊
KR1107	馵
KR1111	𧽼
KR1112	𣝕
KR1115	𩃱
KR1117	賦
KR1118	誇
KR1119	膠
KR1121	冥
KR1130	篾
KR1144	𡹘
KR1146	螟
KR1147	與
KR1156	璞
KR1157	旟
KR1162	肇
KR1164	縫
KR1172	滂
KR1182	崷
KR1183	恵
KR1186	鐫
KR1188	𤬪
KR1189	齊
KR1192	裔
KR1198	弘
KR1203	臣
KR1218	靃
KR1226	𤫽
KR1232	噆
KR1240	衝
KR1251	𩅦
KR1252	達
KR1260	瀑
KR1262	曄
KR1277	謾
KR1289	𤾂
KR1292	崿
KR1300	睠
KR1305	穴
KR1306	闃
KR1309	辯
KR1310	嵋
KR1312	𡼏
KR1316	恣
KR1317	段
KR1322	遺
KR1323	礚
KR1325	𦍕
KR1332	軒
KR1345	𩥇
KR1347	蔓
KR1358	愕
KR1368	睡
KR1378	鸝
KR1384	𤲬
KR1388	㮚
KR1392	𣰅
KR1400	犖
KR1404	祇
KR1407	瞬
KR1422	𦿆
KR1425	牓
KR1426	烹
KR1435	𠺕
KR1438	𥿊
KR1447	𥫱
KR1449	榻
KR1461	坐
KR1462	俾
KR1466	𡵻
KR1470	𠯗
KR1477	愆
KR1481	瀍
KR1482	栴
KR1487	㘚
KR1501	𮆛
KR1502	𩕳
KR1510	慢
KR1517	𣵡
KR1521	毓
KR1532	𪒠
KR1533	𥿭
KR1535	𨄌
KR1549	湤
KR1557	𭺠
KR1558	𡋯
KR1560	牆
KR1563	䙡
KR1584	肉
KR1588	籀
KR1601	瘞
KR1602	褭
KR1603	𠢐
KR1605	𧬈
KR1612	虎
KR1614	總
KR1617	剞
KR1618	辯
KR1622	睺
KR1623	教
KR1628	𡹮
KR1632	𦤞
KR1635	屼
KR1644	暀
KR1656	𢤱
KR1675	座
KR1682	𤄷
KR1687	軥
KR1695	積
KR1716	枕
KR1718	緵
KR1731	鶴
KR1737	𥝧
# KR1745	[莫-大+羽]
KR1758	纂
KR1759	𮐭
KR1768	康
KR1785	𨁝
KR1787	緬
KR1794	徹
KR1796	縠
KR1808	𣹟
KR1816	墼
KR1827	𦢊
KR1831	𤞞
KR1841	𤐰
KR1844	𡱁
KR1866	𢂿
KR1879	隷
KR1890	嘴
KR1900	廛
KR1901	返
KR1924	獬
KR1926	焦
KR1928	庶
KR1965	𩰺
KR1982	𦣱
KR1983	舁
KR1988	斗
KR2032	𩮰
KR2067	睒
KR2070	𢮓
KR2088	𩅰
KR2110	𡻭
KR2137	𡺸
KR2161	䷀
KR2189	䷋
KR2199	𧑃
KR2220	𨝸
KR2229	𩼽
KR2244	㲉
KR2251	勃
KR2260	𢷾
KR2262	迢
KR2277	䷠
KR2288	𡷗
KR2307	䷗
KR2308	䷊
KR2309	𡻱
KR2314	𧔞
KR2336	䷒
KR2339	𡊇
KR2353	曝
KR2371	穀
KR2372	䷖
KR2373	☰
KR2378	卉
KR2383	蝦
KR2387	風
KR2393	已
KR2402	䷪
KR2403	䷡
KR2441	䷓
KR2442	䷁
KR2458	蹰
KR2459	𨷲
KR2474	轍
KR2479	䷫
KR2480	䷃
KR2481	䷂
KR2501	𧉪
KR2514	☷
KR2530	噭
KR2561	䷟
KR2562	䷅
KR2563	䷄
KR2564	𣔻
KR2566	象
KR2631	𡨢
KR2655	𢶍
KR2656	䷾
KR2657	䷶
KR2658	䷚
KR2659	䷌
KR2660	䷆
KR2661	☶
KR2662	☵
KR2677	𡎺
KR2701	䷳
KR2702	䷨
KR2703	䷣
KR2704	䷜
KR2705	䷛
KR2706	䷈
KR2743	䷸
KR2744	䷰
KR2745	䷐
KR2746	䷎
KR2747	䷍
KR2748	䷇
KR2749	☳
KR2764	𧄼
KR2803	卼
KR2807	䷼
KR2808	䷴
KR2809	䷬
KR2810	䷦
KR2811	䷥
KR2812	䷢
KR2813	䷞
KR2814	䷘
KR2815	䷑
KR2816	☲
KR2858	鴝
KR2865	䷿
KR2866	䷻
KR2867	䷤
KR2868	䷝
KR2926	䷺
KR2927	䷷
KR2928	䷵
KR2929	䷯
KR2930	䷩
KR2931	䷕
KR2982	䷲
KR2983	䷱
KR2984	䷮
KR2985	䷏
KR2986	䷉
KR2987	☴
KR3047	䷽
KR3048	䷭
KR3049	䷧
KR3050	䷙
KR3051	䷔
KR3052	☱
KR3091	䷹
KR3126	𡞞
KR3178	潘
KR3371	𦟥
KR3456	眄
KR3545	肇
KR3606	𩜯
KR3710	𨈃
KR3779	𥈐
KR3785	𤤮
KR3963	曠
KR4061	𠹔
KR4231	㔸
KR4269	弘
KR4353	鸞
KR4646	𤊹
KR4703	纒
KR4706	躔
KR4710	脊
