cp_hex	char	count	block	category	name
U+6587	文	187	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6587
U+8056	聖	186	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8056
U+6728	木	180	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6728
U+59CB	始	179	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-59CB
U+5165	入	177	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5165
U+795E	神	173	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-795E
U+975E	非	172	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-975E
U+514C	兌	170	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-514C
U+8655	處	170	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8655
U+6C34	水	168	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6C34
U+5426	否	166	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5426
U+547D	命	165	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-547D
U+660E	明	164	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-660E
U+4E43	乃	163	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E43
U+53D6	取	162	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53D6
U+5347	升	161	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5347
U+627F	承	158	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-627F
U+65B9	方	158	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65B9
U+9032	進	155	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9032
U+9577	長	152	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9577
U+96D6	雖	152	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-96D6
U+4FE1	信	151	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4FE1
U+5FC3	心	151	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FC3
U+8AAC	説	151	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8AAC
U+7AAE	窮	149	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7AAE
U+81E3	臣	149	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-81E3
U+53CD	反	148	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53CD
U+5973	女	148	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5973
U+5982	如	147	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5982
U+6578	數	147	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6578
U+6B62	止	145	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B62
U+76CA	益	144	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-76CA
U+4F55	何	143	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F55
U+5916	外	143	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5916
