cp_hex	char	count	block	category	name
U+514D	免	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-514D
U+5168	全	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5168
U+5175	兵	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5175
U+5191	冑	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5191
U+5192	冒	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5192
U+51B6	冶	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-51B6
U+5207	切	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5207
U+5232	刲	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5232
U+5233	刳	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5233
U+529B	力	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-529B
U+52D1	勑	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-52D1
U+52E2	勢	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-52E2
U+534A	半	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-534A
U+5352	卒	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5352
U+535A	博	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-535A
U+535C	卜	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-535C
U+537C	卼	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-537C
U+53A4	厤	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53A4
U+53AD	厭	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53AD
U+53DB	叛	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53DB
U+53E1	叡	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53E1
U+53E2	叢	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53E2
U+53F2	史	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53F2
