cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+52C5	勅	64556	U+6555	敕	50892	1.268	kSemanticVariant,kSpecializedSemanticVariant
U+7B54	答	341342	U+8345	荅	50609	6.745	kSemanticVariant
U+6C92	沒	136486	U+6CA1	没	50440	2.706	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+7627	瘧	55050	U+5F04	弄	48780	1.129	kSpecializedSemanticVariant
U+5179	兹	117585	U+8332	茲	48515	2.424	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5433	吳	304634	U+5434	吴	48086	6.335	kSimplifiedVariant,kTraditionalVariant,kZVariant
U+5449	呉	120006	U+5434	吴	48086	2.496	kZVariant
U+5FD7	志	798076	U+8A8C	誌	47503	16.801	kSimplifiedVariant,kTraditionalVariant
U+8D0A	贊	106359	U+8CDB	賛	47081	2.259	kSemanticVariant
U+5415	吕	110967	U+5442	呂	46866	2.368	kSimplifiedVariant,kTraditionalVariant
U+6559	教	706301	U+654E	敎	46718	15.118	kSemanticVariant
U+5617	嘗	416130	U+751E	甞	46663	8.918	kSemanticVariant
U+5E8A	床	47956	U+7240	牀	46183	1.038	kSemanticVariant
U+76DC	盜	113671	U+76D7	盗	46148	2.463	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6BC1	毁	56632	U+6BC0	毀	46059	1.230	kSimplifiedVariant,kTraditionalVariant
U+5F26	弦	109335	U+7D43	絃	45088	2.425	kSemanticVariant
U+9ED9	黙	47632	U+9ED8	默	44955	1.060	kSemanticVariant
U+56DE	回	213262	U+56D8	囘	44797	4.761	kSemanticVariant
U+8F9F	辟	117890	U+95E2	闢	44029	2.678	kSimplifiedVariant,kTraditionalVariant
U+53D9	叙	49136	U+6558	敘	43973	1.117	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5373	即	1853449	U+537D	卽	43869	42.250	kSemanticVariant
U+7E6B	繫	147785	U+7CFB	系	43823	3.372	kSimplifiedVariant,kTraditionalVariant
U+4FC2	係	94299	U+7CFB	系	43823	2.152	kSimplifiedVariant,kTraditionalVariant
U+6BD8	毘	61026	U+6BD7	毗	43613	1.399	kSemanticVariant
U+5E7E	幾	279950	U+51E0	几	43513	6.434	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+5F37	強	128636	U+5F4A	彊	42531	3.025	kSemanticVariant,kSpecializedSemanticVariant
U+5F3A	强	120092	U+5F4A	彊	42531	2.824	kSemanticVariant,kSpecializedSemanticVariant
U+8F12	輒	81287	U+8F19	輙	41973	1.937	kSemanticVariant
U+83F4	菴	62713	U+5EB5	庵	41703	1.504	kSemanticVariant
U+528D	劍	64427	U+5292	劒	41453	1.554	kSemanticVariant
U+812B	脫	244019	U+8131	脱	41214	5.921	kSimplifiedVariant,kTraditionalVariant,kZVariant
U+61C9	應	1163263	U+786C	硬	39229	29.653	kSpecializedSemanticVariant
U+89E3	解	799061	U+89E7	觧	38957	20.511	kSemanticVariant,kSpecializedSemanticVariant
U+8000	耀	49734	U+66DC	曜	38460	1.293	kSemanticVariant
U+8E30	踰	67058	U+903E	逾	37785	1.775	kSemanticVariant
U+6548	效	189662	U+52B9	効	37742	5.025	kSemanticVariant
U+6085	悅	50542	U+60A6	悦	37691	1.341	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant,kZVariant
U+59E6	姦	67661	U+5978	奸	36930	1.832	kSimplifiedVariant,kTraditionalVariant
U+4E11	丑	113160	U+919C	醜	36861	3.070	kSimplifiedVariant,kTraditionalVariant
U+9D08	鴈	48339	U+96C1	雁	36735	1.316	kSemanticVariant
U+8457	著	561722	U+7740	着	36444	15.413	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+9684	隄	37262	U+5824	堤	36437	1.023	kSemanticVariant
U+7A05	稅	40928	U+7A0E	税	36288	1.128	kSimplifiedVariant,kTraditionalVariant,kZVariant
U+9B31	鬱	108010	U+90C1	郁	36156	2.987	kSimplifiedVariant,kTraditionalVariant
U+5BDC	寜	59514	U+5BD5	寕	34771	1.712	kSemanticVariant
U+52C5	勅	64556	U+52D1	勑	34593	1.866	kSemanticVariant,kSpecializedSemanticVariant
U+6555	敕	50892	U+52D1	勑	34593	1.471	kSemanticVariant
U+9808	須	496028	U+6E4F	湏	34366	14.434	kSemanticVariant
U+9130	鄰	65137	U+96A3	隣	33997	1.916	kSemanticVariant
U+5C6C	屬	587717	U+5C5E	属	33960	17.306	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+677F	板	51436	U+7248	版	33727	1.525	kSemanticVariant
U+4E26	並	459623	U+7ADD	竝	33359	13.778	kSemanticVariant
U+5E76	并	207077	U+7ADD	竝	33359	6.208	kSemanticVariant
U+9F13	鼓	180172	U+9F14	鼔	33333	5.405	kSemanticVariant
U+4E00	一	8243652	U+58F9	壹	33107	249.000	kSemanticVariant,kSpecializedSemanticVariant
U+53EA	只	259726	U+96BB	隻	32958	7.881	kSimplifiedVariant,kTraditionalVariant
U+965C	陜	53304	U+72F9	狹	32666	1.632	kSemanticVariant
U+96A8	隨	619060	U+968F	随	32384	19.116	kSimplifiedVariant,kTraditionalVariant
U+8449	葉	405217	U+53F6	叶	32345	12.528	kSimplifiedVariant,kTraditionalVariant
U+6DE1	淡	79169	U+6FB9	澹	32312	2.450	kSemanticVariant,kSpecializedSemanticVariant
U+6FEC	濬	34524	U+6D5A	浚	31136	1.109	kSemanticVariant
U+6731	朱	315332	U+7843	硃	31091	10.142	kSimplifiedVariant,kTraditionalVariant
U+6536	收	266488	U+53CE	収	30418	8.761	kSemanticVariant
U+9109	鄉	290044	U+90F7	郷	30320	9.566	kSemanticVariant,kZVariant
U+5834	場	84707	U+5872	塲	30086	2.815	kSemanticVariant,kSpecializedSemanticVariant
