cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+5742	坂	10776	U+962A	阪	6015	1.792	kSimplifiedVariant,kTraditionalVariant
U+4E26	並	381390	U+5E76	并	213031	1.790	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6734	朴	38287	U+6A38	樸	21727	1.762	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+820D	舍	300775	U+6368	捨	171087	1.758	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+91C7	采	122323	U+63A1	採	76791	1.593	kSimplifiedVariant,kTraditionalVariant
U+5F81	征	175194	U+5FB5	徵	110039	1.592	kSimplifiedVariant,kTraditionalVariant
U+501F	借	97379	U+85C9	藉	67168	1.450	kSimplifiedVariant,kTraditionalVariant
U+75D2	痒	8939	U+7662	癢	6216	1.438	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+66EC	曬	5276	U+6652	晒	3724	1.417	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5F5E	彞	11576	U+5F5D	彝	8444	1.371	kSimplifiedVariant,kTraditionalVariant
U+51B5	况	121890	U+6CC1	況	93384	1.305	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9F39	鼹	168	U+9F34	鼴	129	1.302	kSimplifiedVariant,kTraditionalVariant
U+75FE	痾	3463	U+75B4	疴	2730	1.268	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6DC0	淀	3449	U+6FB1	澱	2721	1.268	kSimplifiedVariant,kTraditionalVariant
U+8FF9	迹	99878	U+8DE1	跡	89785	1.112	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7159	煙	106372	U+70DF	烟	95854	1.110	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9709	霉	395	U+9EF4	黴	364	1.085	kSimplifiedVariant,kTraditionalVariant
U+6302	挂	27330	U+639B	掛	25744	1.062	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+51C6	准	65726	U+6E96	準	63213	1.040	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8591	薑	57924	U+59DC	姜	57018	1.016	kSimplifiedVariant,kTraditionalVariant
