cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+8E63	蹣	597	U+8E52	蹒	3	199.000	kSimplifiedVariant,kTraditionalVariant
U+7CF4	糴	21032	U+7C74	籴	106	198.415	kSimplifiedVariant,kTraditionalVariant
U+8606	蘆	49666	U+82A6	芦	252	197.087	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9077	遷	286221	U+8FC1	迁	1459	196.176	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+78FE	磾	3330	U+40C5	䃅	17	195.882	kSimplifiedVariant,kTraditionalVariant
U+69CB	構	22314	U+6784	构	114	195.737	kSimplifiedVariant,kTraditionalVariant
U+5152	兒	218009	U+513F	儿	1114	195.699	kSimplifiedVariant,kTraditionalVariant
U+779E	瞞	7434	U+7792	瞒	38	195.632	kSimplifiedVariant,kTraditionalVariant
U+52DE	勞	241699	U+52B3	劳	1239	195.076	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+6FA6	澦	1731	U+6EEA	滪	9	192.333	kSimplifiedVariant,kTraditionalVariant
U+9410	鐐	573	U+9563	镣	3	191.000	kSimplifiedVariant,kTraditionalVariant
U+7210	爐	44964	U+7089	炉	236	190.525	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6DF5	淵	124138	U+6E0A	渊	667	186.114	kSimplifiedVariant,kTraditionalVariant
U+5B00	嬀	919	U+59AB	妫	5	183.800	kSimplifiedVariant,kTraditionalVariant
U+80E1	胡	268651	U+885A	衚	1495	179.700	kSimplifiedVariant,kTraditionalVariant
U+61FC	懼	139806	U+60E7	惧	780	179.238	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7C59	籙	17900	U+7B93	箓	100	179.000	kSimplifiedVariant,kTraditionalVariant
U+7E08	縈	20836	U+8426	萦	117	178.085	kSimplifiedVariant,kTraditionalVariant
U+8FAD	辭	424689	U+8F9E	辞	2395	177.323	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7E43	繃	177	U+7EF7	绷	1	177.000	kSimplifiedVariant,kTraditionalVariant
U+5CA1	岡	45025	U+5188	冈	256	175.879	kSimplifiedVariant,kTraditionalVariant
U+978F	鞏	20834	U+5DE9	巩	119	175.076	kSimplifiedVariant,kTraditionalVariant
U+947E	鑾	17931	U+92AE	銮	106	169.160	kSimplifiedVariant,kTraditionalVariant
U+5DD2	巒	16866	U+5CE6	峦	100	168.660	kSimplifiedVariant,kTraditionalVariant
U+58B3	墳	34644	U+575F	坟	206	168.175	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6519	攙	3194	U+6400	搀	19	168.105	kSimplifiedVariant,kTraditionalVariant
U+96E2	離	569060	U+79BB	离	3388	167.963	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+842C	萬	1184270	U+4E07	万	7074	167.412	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8C76	豶	1170	U+8C6E	豮	7	167.143	kSimplifiedVariant,kTraditionalVariant
U+89F6	觶	13692	U+89EF	觯	85	161.082	kSimplifiedVariant,kTraditionalVariant
U+5138	儸	161	U+3469	㑩	1	161.000	kSimplifiedVariant,kTraditionalVariant
