var_cp	var_char	reg_cp	reg_char	remarks
U+88B7	袷	U+593E	夾	src=GB2013,Var-to-Rep
U+88CC	裌	U+593E	夾	src=GB2013,Var-to-Rep
U+8F68	轨	U+8ECC	軌	src=GB2013
U+887A	衺	U+90AA	邪	src=GB2013,Var-to-Rep
U+5C27	尧	U+582F	堯	src=GB2013
U+5212	划	U+5212,U+5283	划劃	var-also-canonical-elsewhere; reg-also-variant-elsewhere:划; multi-target (2); src=GB2013,Var-to-Rep
U+8FC8	迈	U+9081	邁	src=GB2013
U+6BD5	毕	U+7562	畢	src=GB2013
U+8D1E	贞	U+8C9E	貞	src=GB2013
U+5E08	师	U+5E2B	師	src=GB2013
U+5C18	尘	U+5875	塵	src=GB2013
U+5F53	当	U+7576,U+5679	當噹	multi-target (2); src=GB2013,Var-to-Rep
U+5401	吁	U+5401,U+7C72	吁籲	var-also-canonical-elsewhere; reg-also-variant-elsewhere:吁; multi-target (2); src=GB2013
U+5413	吓	U+5687	嚇	src=GB2013
U+866B	虫	U+87F2	蟲	src=GB2013,Var-to-Rep
U+66F2	曲	U+66F2,U+9EAF	曲麯	var-also-canonical-elsewhere; reg-also-variant-elsewhere:曲麯; multi-target (2); src=GB2013
U+56E2	团	U+5718,U+7CF0	團糰	multi-target (2); src=GB2013
U+4EDD	仝	U+540C	同	src=GB2013,Var-to-Rep
U+8855	衕	U+540C	同	src=GB2013,Var-to-Rep
U+540A	吊	U+540A,U+5F14	吊弔	reverse-dropped:弔→吊 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:吊; multi-target (2); src=GB2013,Var-to-Rep
U+55AB	喫	U+5403	吃	src=GB2013,Var-to-Rep
U+56D9	囙	U+56E0	因	src=GB2013,Var-to-Rep
U+5417	吗	U+55CE	嗎	src=GB2013
U+5C7F	屿	U+5DBC	嶼	src=GB2013
U+5C81	岁	U+6B72	歲	src=GB2013,Var-to-Rep
U+5D57	嵗	U+6B72	歲	src=GB2013,Var-to-Rep
U+3836	㠶	U+5E06	帆	src=GB2013,Var-to-Rep
U+98BF	颿	U+5E06	帆	src=GB2013,Var-to-Rep
U+5EFB	廻	U+8FF4,U+56DE	迴回	reg-also-variant-elsewhere:迴; multi-target (2); src=GB2013,Var-to-Rep
U+9025	逥	U+8FF4,U+56DE	迴回	reg-also-variant-elsewhere:迴; multi-target (2); src=GB2013,Var-to-Rep
U+5C82	岂	U+8C48	豈	src=GB2013
U+5219	则	U+5247	則	src=GB2013
U+521A	刚	U+525B	剛	src=GB2013
U+7F51	网	U+7DB2,U+7F54	網罔	multi-target (2); src=GB2013,Var-to-Rep
U+79CA	秊	U+5E74	年	src=GB2013,Var-to-Rep
U+6731	朱	U+6731,U+7843	朱硃	var-also-canonical-elsewhere; reg-also-variant-elsewhere:朱; multi-target (2); src=GB2013
U+8FC1	迁	U+9077	遷	src=GB2013,Var-to-Rep
