replace	cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types	major_sources	minor_sources
yes	U+9280	銀	223626	U+94F6	银	2	111813.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+84EE	蓮	108643	U+83B2	莲	1	108643.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+5EB8	庸	108544	U+2018C	𠆌	1	108544.000	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GJT7
yes	U+5F92	徒	321957	U+28452	𨑒	3	107319.000	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GJT6
yes	U+8D0A	贊	106588	U+8D5E	赞	1	106588.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
yes	U+8ED2	軒	106057	U+8F69	轩	1	106057.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+65AC	斬	106005	U+65A9	斩	1	106005.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8C9E	貞	211590	U+8D1E	贞	2	105795.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+98FE	飾	102558	U+9970	饰	1	102558.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9CF3	鳳	99489	U+51E4	凤	1	99489.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHJT3/AG
yes	U+7562	畢	198698	U+6BD5	毕	2	99349.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+885B	衛	297048	U+536B	卫	3	99016.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8077	職	292110	U+804C	职	3	97370.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+93E1	鏡	97289	U+955C	镜	1	97289.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+904B	運	290610	U+8FD0	运	3	96870.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHJKpKT4/AG
yes	U+50B3	傳	1147932	U+4F20	传	12	95661.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+932F	錯	93880	U+9519	错	1	93880.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+61B6	憶	93726	U+5FC6	忆	1	93726.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GV/AG
yes	U+9285	銅	92774	U+94DC	铜	1	92774.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+8655	處	1176071	U+5904	处	13	90467.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHKT3/AG
